treefile,msafile,msaname,outputdir,ntaxa,nfeatures,nbits,chartype,SPI_fscore,SPI_precision,SPI_recall,SPI_meandepth,SPI_mediandepth,SPI_maxdepth
/Users/bend/projects/Doran_etal_2023/data/sims/localsweep/trees/balancedtree-t1024-s42.nw,/Users/bend/projects/Doran_etal_2023/data/sims/localsweep/MSAs/balancedtree-t1024-s42-l1024-b2.phy,balancedtree-t1024-s42-l1024-b2,/Users/bend/projects/Doran_etal_2023/_research/localsweep/runSPI/balancedtree-t1024-s42-l1024-b2,1024,1024,2,DNA,0.7711468604047743,0.8209944751381215,0.7270058708414873,6.7030905077262695,7.0,11.0
/Users/bend/projects/Doran_etal_2023/data/sims/localsweep/trees/balancedtree-t1024-s42.nw,/Users/bend/projects/Doran_etal_2023/data/sims/localsweep/MSAs/balancedtree-t1024-s42-l128-b2.phy,balancedtree-t1024-s42-l128-b2,/Users/bend/projects/Doran_etal_2023/_research/localsweep/runSPI/balancedtree-t1024-s42-l128-b2,1024,128,2,DNA,0.7157676348547718,0.7615894039735099,0.675146771037182,6.721058434399118,7.0,15.0
/Users/bend/projects/Doran_etal_2023/data/sims/localsweep/trees/balancedtree-t1024-s42.nw,/Users/bend/projects/Doran_etal_2023/data/sims/localsweep/MSAs/balancedtree-t1024-s42-l16-b2.phy,balancedtree-t1024-s42-l16-b2,/Users/bend/projects/Doran_etal_2023/_research/localsweep/runSPI/balancedtree-t1024-s42-l16-b2,1024,16,2,DNA,0.0303030303030303,0.47058823529411764,0.015655577299412915,1.3235294117647058,1.0,3.0
/Users/bend/projects/Doran_etal_2023/data/sims/localsweep/trees/balancedtree-t1024-s42.nw,/Users/bend/projects/Doran_etal_2023/data/sims/localsweep/MSAs/balancedtree-t1024-s42-l256-b2.phy,balancedtree-t1024-s42-l256-b2,/Users/bend/projects/Doran_etal_2023/_research/localsweep/runSPI/balancedtree-t1024-s42-l256-b2,1024,256,2,DNA,0.7211093990755008,0.7589189189189189,0.6868884540117417,5.856216216216216,6.0,12.0
/Users/bend/projects/Doran_etal_2023/data/sims/localsweep/trees/balancedtree-t1024-s42.nw,/Users/bend/projects/Doran_etal_2023/data/sims/localsweep/MSAs/balancedtree-t1024-s42-l32-b2.phy,balancedtree-t1024-s42-l32-b2,/Users/bend/projects/Doran_etal_2023/_research/localsweep/runSPI/balancedtree-t1024-s42-l32-b2,1024,32,2,DNA,0.3476297968397291,0.752442996742671,0.22602739726027396,1.5309446254071661,1.0,5.0
/Users/bend/projects/Doran_etal_2023/data/sims/localsweep/trees/balancedtree-t1024-s42.nw,/Users/bend/projects/Doran_etal_2023/data/sims/localsweep/MSAs/balancedtree-t1024-s42-l512-b2.phy,balancedtree-t1024-s42-l512-b2,/Users/bend/projects/Doran_etal_2023/_research/localsweep/runSPI/balancedtree-t1024-s42-l512-b2,1024,512,2,DNA,0.7512742099898064,0.7840425531914894,0.7211350293542075,6.995744680851064,7.0,12.0
/Users/bend/projects/Doran_etal_2023/data/sims/localsweep/trees/balancedtree-t1024-s42.nw,/Users/bend/projects/Doran_etal_2023/data/sims/localsweep/MSAs/balancedtree-t1024-s42-l64-b2.phy,balancedtree-t1024-s42-l64-b2,/Users/bend/projects/Doran_etal_2023/_research/localsweep/runSPI/balancedtree-t1024-s42-l64-b2,1024,64,2,DNA,0.640480087288598,0.7237977805178791,0.5743639921722113,6.316502463054187,6.0,12.0
/Users/bend/projects/Doran_etal_2023/data/sims/localsweep/trees/balancedtree-t128-s42.nw,/Users/bend/projects/Doran_etal_2023/data/sims/localsweep/MSAs/balancedtree-t128-s42-l1024-b2.phy,balancedtree-t128-s42-l1024-b2,/Users/bend/projects/Doran_etal_2023/_research/localsweep/runSPI/balancedtree-t128-s42-l1024-b2,128,1024,2,DNA,0.8442622950819672,0.8728813559322034,0.8174603174603174,5.436974789915967,5.0,9.0
/Users/bend/projects/Doran_etal_2023/data/sims/localsweep/trees/balancedtree-t128-s42.nw,/Users/bend/projects/Doran_etal_2023/data/sims/localsweep/MSAs/balancedtree-t128-s42-l128-b2.phy,balancedtree-t128-s42-l128-b2,/Users/bend/projects/Doran_etal_2023/_research/localsweep/runSPI/balancedtree-t128-s42-l128-b2,128,128,2,DNA,0.8200836820083682,0.8672566371681416,0.7777777777777778,5.017699115044247,5.0,7.0
/Users/bend/projects/Doran_etal_2023/data/sims/localsweep/trees/balancedtree-t128-s42.nw,/Users/bend/projects/Doran_etal_2023/data/sims/localsweep/MSAs/balancedtree-t128-s42-l16-b2.phy,balancedtree-t128-s42-l16-b2,/Users/bend/projects/Doran_etal_2023/_research/localsweep/runSPI/balancedtree-t128-s42-l16-b2,128,16,2,DNA,0.04511278195488722,0.42857142857142855,0.023809523809523808,1.2857142857142858,1.0,3.0
