Unique_Sample_ID	Volume_uL	Weight_mg	SampleType	Panel	Submitting_to_MMF_YesNo	trial	msk_id	HMMF_batch	HMMF_sampleid	taurocholic_acid__ug.ml	media
A1	750	NA	Supernant	Bile Acid, PFBBR, Untargetted	N	EW021622_plate1	DFI.2.45	DFI-HMMF-1256	EW021622_plate1_A1	5	BHIS
A2	750	NA	Supernant	Bile Acid, PFBBR, Untargetted	N	EW021622_plate1	DFI.1.234	DFI-HMMF-1256	EW021622_plate1_A2	5	BHIS
A3	750	NA	Supernant	Bile Acid, PFBBR, Untargetted	N	EW021622_plate1	DFI.22.53	DFI-HMMF-1256	EW021622_plate1_A3	5	BHIS
A4	750	NA	Supernant	Bile Acid, PFBBR, Untargetted	N	EW021622_plate1	CON.061	DFI-HMMF-1256	EW021622_plate1_A4	5	BHIS
A5	750	NA	Supernant	Bile Acid, PFBBR, Untargetted	N	EW021622_plate1	DFI.2.45	DFI-HMMF-1256	EW021622_plate1_A5	0	BHIS
A6	750	NA	Supernant	Bile Acid, PFBBR, Untargetted	N	EW021622_plate1	DFI.1.234	DFI-HMMF-1256	EW021622_plate1_A6	0	BHIS
A7	750	NA	Supernant	Bile Acid, PFBBR, Untargetted	N	EW021622_plate1	DFI.22.53	DFI-HMMF-1256	EW021622_plate1_A7	0	BHIS
A8	750	NA	Supernant	Bile Acid, PFBBR, Untargetted	N	EW021622_plate1	CON.061	DFI-HMMF-1256	EW021622_plate1_A8	0	BHIS
B1	750	NA	Supernant	Bile Acid, PFBBR, Untargetted	N	EW021622_plate1	DFI.2.45	DFI-HMMF-1256	EW021622_plate1_B1	5	BHIS
B2	750	NA	Supernant	Bile Acid, PFBBR, Untargetted	N	EW021622_plate1	DFI.1.234	DFI-HMMF-1256	EW021622_plate1_B2	5	BHIS
B3	750	NA	Supernant	Bile Acid, PFBBR, Untargetted	N	EW021622_plate1	DFI.22.53	DFI-HMMF-1256	EW021622_plate1_B3	5	BHIS
B4	750	NA	Supernant	Bile Acid, PFBBR, Untargetted	N	EW021622_plate1	CON.061	DFI-HMMF-1256	EW021622_plate1_B4	5	BHIS
B5	750	NA	Supernant	Bile Acid, PFBBR, Untargetted	N	EW021622_plate1	DFI.2.45	DFI-HMMF-1256	EW021622_plate1_B5	0	BHIS
B6	750	NA	Supernant	Bile Acid, PFBBR, Untargetted	N	EW021622_plate1	DFI.1.234	DFI-HMMF-1256	EW021622_plate1_B6	0	BHIS
B7	750	NA	Supernant	Bile Acid, PFBBR, Untargetted	N	EW021622_plate1	DFI.22.53	DFI-HMMF-1256	EW021622_plate1_B7	0	BHIS
B8	750	NA	Supernant	Bile Acid, PFBBR, Untargetted	N	EW021622_plate1	CON.061	DFI-HMMF-1256	EW021622_plate1_B8	0	BHIS
C1	750	NA	Supernant	Bile Acid, PFBBR, Untargetted	N	EW021622_plate1	DFI.2.45	DFI-HMMF-1256	EW021622_plate1_C1	5	BHIS
C2	750	NA	Supernant	Bile Acid, PFBBR, Untargetted	N	EW021622_plate1	DFI.1.234	DFI-HMMF-1256	EW021622_plate1_C2	5	BHIS
C3	750	NA	Supernant	Bile Acid, PFBBR, Untargetted	N	EW021622_plate1	DFI.22.53	DFI-HMMF-1256	EW021622_plate1_C3	5	BHIS
C4	750	NA	Supernant	Bile Acid, PFBBR, Untargetted	N	EW021622_plate1	CON.061	DFI-HMMF-1256	EW021622_plate1_C4	5	BHIS
