con_id,experiment_id,input_condition,hmmf_panels_used,metab_well,trial_plate,ms_type,media,ph_adjust,value,compound,blank,log2FC,con_list,msk_id,name,seq_id
CON.084,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A1,SM042122_plate1,Quant,BHIM,6.8,7.52,butyrate,0.178333,5.398087062626411,"DFI.1.234,DFI.2.45,DFI.3.84",DFI.3.84,Coprococcus comes,210702-DFI.3.84
CON.084,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A1,SM042122_plate1,Quant,BHIM,6.8,0.00012736,chenodeoxycholic acid,0.000106,0.0,"DFI.1.234,DFI.2.45,DFI.3.84",DFI.3.84,Coprococcus comes,210702-DFI.3.84
CON.084,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A1,SM042122_plate1,Quant,BHIM,6.8,0.00175396,cholic acid,0.000306,0.0,"DFI.1.234,DFI.2.45,DFI.3.84",DFI.3.84,Coprococcus comes,210702-DFI.3.84
CON.084,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A1,SM042122_plate1,Quant,BHIM,6.8,0.01520632,deoxycholic acid,1.3e-5,1.6046710564079572,"DFI.1.234,DFI.2.45,DFI.3.84",DFI.3.84,Coprococcus comes,210702-DFI.3.84
CON.084,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A1,SM042122_plate1,Quant,BHIM,6.8,2.87,glycine,3.323333,-0.2115801222977297,"DFI.1.234,DFI.2.45,DFI.3.84",DFI.3.84,Coprococcus comes,210702-DFI.3.84
CON.084,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A1,SM042122_plate1,Quant,BHIM,6.8,0.0,glycochenodeoxycholic acid,0.0,0.0,"DFI.1.234,DFI.2.45,DFI.3.84",DFI.3.84,Coprococcus comes,210702-DFI.3.84
CON.084,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A1,SM042122_plate1,Quant,BHIM,6.8,0.0,glycocholic acid,4.0e-6,0.0,"DFI.1.234,DFI.2.45,DFI.3.84",DFI.3.84,Coprococcus comes,210702-DFI.3.84
CON.084,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A1,SM042122_plate1,Quant,BHIM,6.8,2.547e-5,isodeoxycholic acid,0.0,0.0,"DFI.1.234,DFI.2.45,DFI.3.84",DFI.3.84,Coprococcus comes,210702-DFI.3.84
CON.084,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A1,SM042122_plate1,Quant,BHIM,6.8,0.0,alloisolithocholic acid,0.0,0.0,"DFI.1.234,DFI.2.45,DFI.3.84",DFI.3.84,Coprococcus comes,210702-DFI.3.84
CON.084,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A1,SM042122_plate1,Quant,BHIM,6.8,0.0,allocholic acid,0.0,0.0,"DFI.1.234,DFI.2.45,DFI.3.84",DFI.3.84,Coprococcus comes,210702-DFI.3.84
CON.084,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A1,SM042122_plate1,Quant,BHIM,6.8,29.06,acetate,3.348333,3.1175197832439125,"DFI.1.234,DFI.2.45,DFI.3.84",DFI.3.84,Coprococcus comes,210702-DFI.3.84
CON.084,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A1,SM042122_plate1,Quant,BHIM,6.8,3.86,5aminovalerate,0.26,3.892017319126988,"DFI.1.234,DFI.2.45,DFI.3.84",DFI.3.84,Coprococcus comes,210702-DFI.3.84
CON.084,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A1,SM042122_plate1,Quant,BHIM,6.8,3.559e-5,3-oxolithocholic acid,0.0,0.0,"DFI.1.234,DFI.2.45,DFI.3.84",DFI.3.84,Coprococcus comes,210702-DFI.3.84
CON.084,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A1,SM042122_plate1,Quant,BHIM,6.8,7.966e-5,lithocholic acid,4.0e-6,0.0,"DFI.1.234,DFI.2.45,DFI.3.84",DFI.3.84,Coprococcus comes,210702-DFI.3.84
CON.084,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A1,SM042122_plate1,Quant,BHIM,6.8,0.44,proline,1.55,-1.8166927866369402,"DFI.1.234,DFI.2.45,DFI.3.84",DFI.3.84,Coprococcus comes,210702-DFI.3.84
CON.084,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A1,SM042122_plate1,Quant,BHIM,6.8,0.34,propionate,0.303333,0.1646322871528361,"DFI.1.234,DFI.2.45,DFI.3.84",DFI.3.84,Coprococcus comes,210702-DFI.3.84
CON.084,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A1,SM042122_plate1,Quant,BHIM,6.8,0.0,alpha-muricholic acid,0.0,0.0,"DFI.1.234,DFI.2.45,DFI.3.84",DFI.3.84,Coprococcus comes,210702-DFI.3.84
CON.084,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A1,SM042122_plate1,Quant,BHIM,6.8,2.12,succinate,2.068333,0.035595787659261864,"DFI.1.234,DFI.2.45,DFI.3.84",DFI.3.84,Coprococcus comes,210702-DFI.3.84
CON.084,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A1,SM042122_plate1,Quant,BHIM,6.8,0.0,taurocholic acid,0.02836,-2.503857532577429,"DFI.1.234,DFI.2.45,DFI.3.84",DFI.3.84,Coprococcus comes,210702-DFI.3.84
CON.084,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A1,SM042122_plate1,Quant,BHIM,6.8,0.0,taurochenodeoxycholic acid,0.000367,0.0,"DFI.1.234,DFI.2.45,DFI.3.84",DFI.3.84,Coprococcus comes,210702-DFI.3.84
CON.084,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A1,SM042122_plate1,Quant,BHIM,6.8,2.447e-5,ursocholic acid,0.0,0.0,"DFI.1.234,DFI.2.45,DFI.3.84",DFI.3.84,Coprococcus comes,210702-DFI.3.84
CON.084,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A1,SM042122_plate1,Quant,BHIM,6.8,0.0,beta-muricholic acid,0.0,0.0,"DFI.1.234,DFI.2.45,DFI.3.84",DFI.3.84,Coprococcus comes,210702-DFI.3.84
CON.085,4,taurochenodeoxycholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A10,SM042122_plate1,Quant,BHIM,6.8,0.0,alloisolithocholic acid,0.0,0.0,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,4,taurochenodeoxycholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A10,SM042122_plate1,Quant,BHIM,6.8,0.0,ursocholic acid,0.0,0.0,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,4,taurochenodeoxycholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A10,SM042122_plate1,Quant,BHIM,6.8,0.0,taurocholic acid,0.001933,0.0,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,4,taurochenodeoxycholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A10,SM042122_plate1,Quant,BHIM,6.8,2.001e-5,taurochenodeoxycholic acid,0.034167,-2.7726035789018386,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,4,taurochenodeoxycholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A10,SM042122_plate1,Quant,BHIM,6.8,2.12,succinate,2.068333,0.035595787659261864,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,4,taurochenodeoxycholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A10,SM042122_plate1,Quant,BHIM,6.8,0.35,propionate,0.311667,0.16734951478996238,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,4,taurochenodeoxycholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A10,SM042122_plate1,Quant,BHIM,6.8,0.41,proline,1.553333,-1.9216713297237966,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,4,taurochenodeoxycholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A10,SM042122_plate1,Quant,BHIM,6.8,0.0051248,lithocholic acid,9.0e-6,0.03556760833787166,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,4,taurochenodeoxycholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A10,SM042122_plate1,Quant,BHIM,6.8,0.0,isodeoxycholic acid,0.0,0.0,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,4,taurochenodeoxycholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A10,SM042122_plate1,Quant,BHIM,6.8,0.0,glycocholic acid,1.1e-5,0.0,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,4,taurochenodeoxycholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A10,SM042122_plate1,Quant,BHIM,6.8,0.0,glycochenodeoxycholic acid,0.0,0.0,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,4,taurochenodeoxycholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A10,SM042122_plate1,Quant,BHIM,6.8,3.13,glycine,3.338333,-0.09296521410550203,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,4,taurochenodeoxycholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A10,SM042122_plate1,Quant,BHIM,6.8,0.00012736,deoxycholic acid,0.0,0.0,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,4,taurochenodeoxycholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A10,SM042122_plate1,Quant,BHIM,6.8,0.00013868,cholic acid,6.5e-5,0.0,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,4,taurochenodeoxycholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A10,SM042122_plate1,Quant,BHIM,6.8,0.00845644,chenodeoxycholic acid,0.000115,0.758122349158603,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,4,taurochenodeoxycholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A10,SM042122_plate1,Quant,BHIM,6.8,11.26,butyrate,0.183333,5.9405965223610036,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,4,taurochenodeoxycholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A10,SM042122_plate1,Quant,BHIM,6.8,0.0,beta-muricholic acid,4.0e-6,0.0,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,4,taurochenodeoxycholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A10,SM042122_plate1,Quant,BHIM,6.8,0.0,alpha-muricholic acid,0.0,0.0,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,4,taurochenodeoxycholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A10,SM042122_plate1,Quant,BHIM,6.8,0.0,allocholic acid,0.0,0.0,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,4,taurochenodeoxycholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A10,SM042122_plate1,Quant,BHIM,6.8,11.65,acetate,3.153333,1.885380519428173,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,4,taurochenodeoxycholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A10,SM042122_plate1,Quant,BHIM,6.8,1.6,5aminovalerate,0.26,2.6214883767462704,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,4,taurochenodeoxycholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A10,SM042122_plate1,Quant,BHIM,6.8,0.00051611,3-oxolithocholic acid,0.0,0.0,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A4,SM042122_plate1,Quant,BHIM,6.8,0.0,allocholic acid,0.0,0.0,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A4,SM042122_plate1,Quant,BHIM,6.8,2.23,succinate,2.068333,0.10857523301636726,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A4,SM042122_plate1,Quant,BHIM,6.8,0.0,taurochenodeoxycholic acid,0.000367,0.0,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A4,SM042122_plate1,Quant,BHIM,6.8,1.939e-5,taurocholic acid,0.02836,-2.503857532577429,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A4,SM042122_plate1,Quant,BHIM,6.8,2.447e-5,ursocholic acid,0.0,0.0,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A4,SM042122_plate1,Quant,BHIM,6.8,8.9e-6,3-oxolithocholic acid,0.0,0.0,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A4,SM042122_plate1,Quant,BHIM,6.8,2.25,5aminovalerate,0.26,3.1133414730759448,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A4,SM042122_plate1,Quant,BHIM,6.8,24.01,acetate,3.348333,2.8421204838414877,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A4,SM042122_plate1,Quant,BHIM,6.8,0.0,alloisolithocholic acid,0.0,0.0,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A4,SM042122_plate1,Quant,BHIM,6.8,0.0,alpha-muricholic acid,0.0,0.0,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A4,SM042122_plate1,Quant,BHIM,6.8,0.0,beta-muricholic acid,0.0,0.0,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A4,SM042122_plate1,Quant,BHIM,6.8,11.98,butyrate,0.178333,6.06991040373756,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A4,SM042122_plate1,Quant,BHIM,6.8,0.00020377,chenodeoxycholic acid,0.000106,0.0,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A4,SM042122_plate1,Quant,BHIM,6.8,0.00172948,cholic acid,0.000306,0.0,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A4,SM042122_plate1,Quant,BHIM,6.8,0.02075904,deoxycholic acid,1.3e-5,2.053739727931677,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A4,SM042122_plate1,Quant,BHIM,6.8,4.04,glycine,3.323333,0.2817244337783772,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A4,SM042122_plate1,Quant,BHIM,6.8,0.0,glycochenodeoxycholic acid,0.0,0.0,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A4,SM042122_plate1,Quant,BHIM,6.8,2.148e-5,glycocholic acid,4.0e-6,0.0,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
CON.085,3,taurocholic_acid__ug.ml:10,"[""BileAcidPanel"", ""PFBBr""]",A4,SM042122_plate1,Quant,BHIM,6.8,5.094e-5,isodeoxycholic acid,0.0,0.0,"DFI.1.234,DFI.2.45,DFI.6.78",DFI.6.78,Anaerobutyricum soehngenii,211108-DFI.6.78
