sampleid,Acetate,Butyrate,Propionate,Succinate
EW021622_plate1_A1,22.72,0.11,0.14,0.89
EW021622_plate1_A2,22.47,0.14,0.13,0.81
EW021622_plate1_A3,19.44,0.14,0.15,0.9
EW021622_plate1_A4,21.21,0.12,0.14,0.78
EW021622_plate1_A5,21.09,0.12,0.12,0.84
EW021622_plate1_A6,25.71,0.14,0.14,0.83
EW021622_plate1_A7,17.63,0.16,0.14,0.87
EW021622_plate1_A8,24.1,0.15,0.17,0.72
EW021622_plate1_B1,20.4,0.12,0.12,0.86
EW021622_plate1_B2,17.36,0.11,0.12,0.76
EW021622_plate1_B3,13.41,0.12,0.14,0.7
EW021622_plate1_B4,19.01,0.13,0.13,0.7
EW021622_plate1_B5,20.55,0.1,0.11,0.82
EW021622_plate1_B6,24.34,0.12,0.1,0.7
EW021622_plate1_B7,14.03,0.1,0.13,0.69
EW021622_plate1_B8,18.81,0.12,0.14,0.69
EW021622_plate1_C1,20.84,0.12,0.13,0.81
EW021622_plate1_C2,17.21,0.13,0.11,0.7
EW021622_plate1_C3,14.54,0.12,0.13,0.7
EW021622_plate1_C4,18.24,0.11,0.11,0.74
EW021622_plate1_C5,21.09,0.12,0.13,0.82
EW021622_plate1_C6,24.17,0.13,0.11,0.75
EW021622_plate1_C7,14.78,0.12,0.11,0.73
EW021622_plate1_C8,19.85,0.13,0.13,0.71
EW021622_plate1_D1,23.44,0.13,0.12,0.83
EW021622_plate1_D2,19.29,0.11,0.11,0.75
EW021622_plate1_D3,15,0.09,0.13,0.72
EW021622_plate1_D4,3.68,0.12,0.13,0.73
EW021622_plate1_D5,23.54,0.11,0.11,0.79
EW021622_plate1_D6,21.79,0.12,0.15,0.71
EW021622_plate1_D7,15.81,0.13,0.12,0.71
EW021622_plate1_D8,3.98,0.12,0.13,0.73
EW021622_plate1_E1,22.47,0.11,0.13,0.78
EW021622_plate1_E2,17.52,0.14,0.13,0.7
EW021622_plate1_E3,14.97,0.11,0.12,0.7
EW021622_plate1_E4,3.88,0.1,0.13,0.69
EW021622_plate1_E5,24.1,0.12,0.11,0.84
EW021622_plate1_E6,23.54,0.14,0.15,0.73
EW021622_plate1_E7,15.38,0.12,0.13,0.73
EW021622_plate1_E8,3.8,0.12,0.13,0.73
EW021622_plate1_F1,24.69,0.12,0.1,0.9
EW021622_plate1_F2,24,0.12,0.16,0.81
EW021622_plate1_F3,19.45,0.14,0.16,0.9
EW021622_plate1_F4,5.33,0.16,0.17,1.04
EW021622_plate1_F5,30.43,0.16,0.12,1.03
EW021622_plate1_F6,28.08,0.17,0.19,0.93
EW021622_plate1_F7,20.26,0.17,0.17,0.99
EW021622_plate1_F8,5.25,0.18,0.16,1.04
