og,level,nm,description,COG_categories,OG_ID
COG0001,2,4694,"glutamate-1-semialdehyde 2,1-aminomutase activity",H,COG0001@2
COG0003,2,2423,Pfam Anion-transporting ATPase,P,COG0003@2
COG0002,2,3957,N-acetyl-gamma-glutamyl-phosphate reductase activity,E,COG0002@2
COG0004,2,5256,ammonium transporteR,P,COG0004@2
COG0005,2,3783,purine-nucleoside phosphorylase activity,F,COG0005@2
COG0007,2,5084,uroporphyrin-III C-methyltransferase activity,H,COG0007@2
COG0009,2,6500,L-threonylcarbamoyladenylate synthase,J,COG0009@2
COG0011,2,1845,TIGRFAM Protein of,H,COG0011@2
COG0008,2,9171,glutamate-tRNA ligase activity,J,COG0008@2
COG0006,2,10656,proline dipeptidase activity,E,COG0006@2
COG0012,2,4522,GTP binding,J,COG0012@2
COG0010,2,5953,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines",E,COG0010@2
COG0014,2,3906,Catalyzes the NADPH-dependent reduction of L-glutamate 5-phosphate into L-glutamate 5-semialdehyde and phosphate. The product spontaneously undergoes cyclization to form 1-pyrroline-5- carboxylate,E,COG0014@2
COG0013,2,5151,Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction alanine is first activated by ATP to form Ala- AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged Ser-tRNA(Ala) and Gly-tRNA(Ala) via its editing domain,J,COG0013@2
COG0015,2,5542,Belongs to the lyase 1 family. Adenylosuccinate lyase subfamily,F,COG0015@2
COG0017,2,2615,Asparaginyl-tRNA synthetase,J,COG0017@2
COG0016,2,4565,phenylalanine-tRNA ligase activity,J,COG0016@2
COG0018,2,5098,arginyl-tRNA aminoacylation,J,COG0018@2
COG0020,2,5390,"transferase activity, transferring alkyl or aryl (other than methyl) groups",I,COG0020@2
COG0019,2,8176,diaminopimelate decarboxylase activity,E,COG0019@2
COG0023,2,1108,translation initiation factor activity,J,COG0023@2
COG0021,2,4881,"Catalyzes the transfer of a two-carbon ketol group from a ketose donor to an aldose acceptor, via a covalent intermediate with the cofactor thiamine pyrophosphate",G,COG0021@2
COG0027,2,1569,"Involved in the de novo purine biosynthesis. Catalyzes the transfer of formate to 5-phospho-ribosyl-glycinamide (GAR), producing 5-phospho-ribosyl-N-formylglycinamide (FGAR). Formate is provided by PurU via hydrolysis of 10-formyl-tetrahydrofolate",F,COG0027@2
COG0022,2,5949,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor",C,COG0022@2
COG0024,2,7052,Methionine aminopeptidase,E,COG0024@2
COG0025,2,5675,sodium:proton antiporter activity,P,COG0025@2
COG0026,2,3593,5-(carboxyamino)imidazole ribonucleotide synthase activity,F,COG0026@2
COG0029,2,3016,Catalyzes the oxidation of L-aspartate to iminoaspartate,H,COG0029@2
COG0033,2,1690,Phosphoglucomutase,G,COG0033@2
COG0030,2,5373,"rRNA (adenine-N6,N6-)-dimethyltransferase activity",J,COG0030@2
COG0034,2,4748,Catalyzes the formation of phosphoribosylamine from phosphoribosylpyrophosphate (PRPP) and glutamine,F,COG0034@2
COG0028,2,12902,Belongs to the TPP enzyme family,EH,COG0028@2
COG0035,2,3891,Catalyzes the conversion of uracil and 5-phospho-alpha- D-ribose 1-diphosphate (PRPP) to UMP and diphosphate,F,COG0035@2
COG0031,2,9756,Belongs to the cysteine synthase cystathionine beta- synthase family,E,COG0031@2
COG0036,2,5125,ribulose-phosphate 3-epimerase activity,G,COG0036@2
COG0038,2,4966,chloride channel,P,COG0038@2
COG0037,2,7068,tRNA processing,D,COG0037@2
COG0039,2,5315,L-malate dehydrogenase activity,C,COG0039@2
COG0040,2,3719,Catalyzes the condensation of ATP and 5-phosphoribose 1- diphosphate to form N'-(5'-phosphoribosyl)-ATP (PR-ATP). Has a crucial role in the pathway because the rate of histidine biosynthesis seems to be controlled primarily by regulation of hisG enzymatic activity,F,COG0040@2
COG0043,2,2312,3-octaprenyl-4-hydroxybenzoate carboxy-lyase activity,H,COG0043@2
COG0041,2,4247,Catalyzes the conversion of N5-carboxyaminoimidazole ribonucleotide (N5-CAIR) to 4-carboxy-5-aminoimidazole ribonucleotide (CAIR),F,COG0041@2
COG0045,2,4995,succinate-CoA ligase activity,C,COG0045@2
COG0042,2,7072,"Catalyzes the synthesis of 5,6-dihydrouridine (D), a modified base found in the D-loop of most tRNAs, via the reduction of the C5-C6 double bond in target uridines",J,COG0042@2
COG0046,2,4295,Part of the phosphoribosylformylglycinamidine synthase complex involved in the purines biosynthetic pathway. Catalyzes the ATP-dependent conversion of formylglycinamide ribonucleotide (FGAR) and glutamine to yield formylglycinamidine ribonucleotide (FGAM) and glutamate. The FGAM synthase complex is composed of three subunits. PurQ produces an ammonia molecule by converting glutamine to glutamate. PurL transfers the ammonia molecule to FGAR to form FGAM in an ATP-dependent manner. PurS interacts with PurQ and PurL and is thought to assist in the transfer of the ammonia molecule from PurQ to PurL,F,COG0046@2
COG0047,2,4220,phosphoribosylformylglycinamidine synthase activity,F,COG0047@2
COG0044,2,7160,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides",F,COG0044@2
COG0048,2,4447,rRNA binding,J,COG0048@2
COG0049,2,4454,rRNA binding,J,COG0049@2
COG0050,2,6656,translation elongation factor activity,J,COG0050@2
COG0051,2,4429,cytoplasmic translation,J,COG0051@2
COG0052,2,4475,Belongs to the universal ribosomal protein uS2 family,J,COG0052@2
COG0054,2,4185,"6,7-dimethyl-8-ribityllumazine synthase activity",H,COG0054@2
COG0055,2,4608,"proton-transporting ATP synthase activity, rotational mechanism",C,COG0055@2
COG0056,2,4579,Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit,C,COG0056@2
COG0053,2,6089,Belongs to the cation diffusion facilitator (CDF) transporter (TC 2.A.4) family,P,COG0053@2
