"seq_id","COG","COG_categories","description"
"211108-DFI.6.78","COG0345@2","E","Catalyzes the reduction of 1-pyrroline-5-carboxylate (PCA) to L-proline"
"211108-DFI.6.78","COG1263@2","G","Pts system"
"211108-DFI.6.78","COG2190@2","G","Pts system"
"211108-DFI.6.78","COG1264@2","G","Pts system"
"211108-DFI.6.78","COG3830@2","T","Belongs to the UPF0237 family"
"211108-DFI.6.78","COG1669@2","S","Nucleotidyltransferase domain"
"211108-DFI.6.78","COG3238@2","S","Psort location CytoplasmicMembrane, score"
"211108-DFI.6.78","COG2148@2","M","COG2148 Sugar transferases involved in lipopolysaccharide synthesis"
"211108-DFI.6.78","COG2033@2","C","superoxide reductase"
"211108-DFI.6.78","32R5C@2","S","Transposon-encoded protein TnpV"
"211108-DFI.6.78","COG4804@2","S","Psort location Cytoplasmic, score 8.87"
"211108-DFI.6.78","COG5496@2","S","THIoesterase"
"211108-DFI.6.78","30BUQ@2","S","Helix-turn-helix domain"
"211108-DFI.6.78","COG0091@2","J","The globular domain of the protein is located near the polypeptide exit tunnel on the outside of the subunit, while an extended beta-hairpin is found that lines the wall of the exit tunnel in the center of the 70S ribosome"
"211108-DFI.6.78","COG0629@2","L","Single-strand binding protein family"
"211108-DFI.6.78","COG1669@2","S","Nucleotidyltransferase substrate binding protein like"
"211108-DFI.6.78","COG2944@2","K","Helix-turn-helix"
"211108-DFI.6.78","COG0629@2","L","Single-strand binding protein family"
"211108-DFI.6.78","COG3682@2","K","Transcriptional regulator, BlaI MecI CopY family"
"211108-DFI.6.78","COG0080@2","J","Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors"
"211108-DFI.6.78","COG0553@2","L","SNF2 family N-terminal domain"
"211108-DFI.6.78","COG5546@2","S","COG5546 Small integral membrane protein"
"211108-DFI.6.78","2ZU65@2","S","Psort location Cytoplasmic, score"
"211108-DFI.6.78","COG0583@2","K","LysR substrate binding domain"
"211108-DFI.6.78","COG0197@2","J","Binds 23S rRNA and is also seen to make contacts with the A and possibly P site tRNAs"
"211108-DFI.6.78","COG0198@2","J","One of the proteins that surrounds the polypeptide exit tunnel on the outside of the subunit"
"211108-DFI.6.78","COG0255@2","J","Belongs to the universal ribosomal protein uL29 family"
"211108-DFI.6.78","COG0186@2","J","One of the primary rRNA binding proteins, it binds specifically to the 5'-end of 16S ribosomal RNA"
"211108-DFI.6.78","COG4495@2","S","Domain of unknown function (DUF4176)"
"211108-DFI.6.78","COG0093@2","J","Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome"
"211108-DFI.6.78","COG0720@2","H","6-pyruvoyl tetrahydropterin synthase"
"211108-DFI.6.78","COG3039@2","L","Transposase"
"211108-DFI.6.78","31TP2@2","S","Psort location Cytoplasmic, score 8.87"
"211108-DFI.6.78","32Z8V@2","S","Protein of unknown function (DUF3791)"
"211108-DFI.6.78","COG3862@2","S","protein with conserved CXXC pairs"
"211108-DFI.6.78","COG0262@2","H","Key enzyme in folate metabolism. Catalyzes an essential reaction for de novo glycine and purine synthesis, and for DNA precursor synthesis"
"211108-DFI.6.78","COG1942@2","S","macrophage migration inhibitory factor"
"211108-DFI.6.78","COG0169@2","E","HD domain"
"211108-DFI.6.78","COG1418@2","E","HD domain"
"211108-DFI.6.78","COG0732@2","V","Type I restriction modification DNA specificity domain"
"211108-DFI.6.78","COG1671@2","S","Uncharacterized BCR, YaiI/YqxD family COG1671"
"211108-DFI.6.78","COG0245@2","H","Involved in the biosynthesis of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP), two major building blocks of isoprenoid compounds. Catalyzes the conversion of 4- diphosphocytidyl-2-C-methyl-D-erythritol 2-phosphate (CDP-ME2P) to 2-C-methyl-D-erythritol 2,4-cyclodiphosphate (ME-CPP) with a corresponding release of cytidine 5-monophosphate (CMP)"
"211108-DFI.6.78","COG1466@2","L","DNA polymerase III, delta' subunit"
"211108-DFI.6.78","COG0658@2","S","DNA internalization competence protein ComEC Rec2-like protein"
"211108-DFI.6.78","COG2333@2","S","DNA internalization competence protein ComEC Rec2-like protein"
"211108-DFI.6.78","COG5401@2","S","Sporulation and spore germination"
"211108-DFI.6.78","COG5002@2","T","ATPase histidine kinase DNA gyrase B HSP90 domain protein"
"211108-DFI.6.78","COG0745@2","T","response regulator"
"211108-DFI.6.78","COG4992@2","E","acetylornithine aminotransferase"
