accession	ambiguous_bases	checkm2_completeness	checkm2_contamination	checkm2_model	checkm_completeness	checkm_contamination	checkm_marker_count	checkm_marker_lineage	checkm_marker_set_count	checkm_strain_heterogeneity	coding_bases	coding_density	contig_count	gc_count	gc_percentage	genome_size	gtdb_genome_representative	gtdb_representative	gtdb_taxonomy	gtdb_type_designation_ncbi_taxa	gtdb_type_designation_ncbi_taxa_sources	gtdb_type_species_of_genus	l50_contigs	l50_scaffolds	longest_contig	longest_scaffold	lsu_23s_contig_len	lsu_23s_count	lsu_23s_length	lsu_23s_query_id	lsu_5s_contig_len	lsu_5s_count	lsu_5s_length	lsu_5s_query_id	lsu_silva_23s_blast_align_len	lsu_silva_23s_blast_bitscore	lsu_silva_23s_blast_evalue	lsu_silva_23s_blast_perc_identity	lsu_silva_23s_blast_subject_id	lsu_silva_23s_taxonomy	mean_contig_length	mean_scaffold_length	mimag_high_quality	mimag_low_quality	mimag_medium_quality	n50_contigs	n50_scaffolds	ncbi_assembly_level	ncbi_assembly_name	ncbi_assembly_type	ncbi_bioproject	ncbi_biosample	ncbi_contig_count	ncbi_contig_n50	ncbi_country	ncbi_date	ncbi_genbank_assembly_accession	ncbi_genome_category	ncbi_genome_representation	ncbi_isolate	ncbi_isolation_source	ncbi_lat_lon	ncbi_molecule_count	ncbi_ncrna_count	ncbi_organism_name	ncbi_protein_count	ncbi_refseq_category	ncbi_rrna_count	ncbi_scaffold_count	ncbi_scaffold_l50	ncbi_scaffold_n50	ncbi_scaffold_n75	ncbi_scaffold_n90	ncbi_seq_rel_date	ncbi_spanned_gaps	ncbi_species_taxid	ncbi_ssu_count	ncbi_strain_identifiers	ncbi_submitter	ncbi_taxid	ncbi_taxonomy	ncbi_taxonomy_unfiltered	ncbi_total_gap_length	ncbi_total_length	ncbi_translation_table	ncbi_trna_count	ncbi_type_material_designation	ncbi_ungapped_length	ncbi_unspanned_gaps	ncbi_wgs_master	protein_count	scaffold_count	ssu_contig_len	ssu_count	ssu_gg_blast_align_len	ssu_gg_blast_bitscore	ssu_gg_blast_evalue	ssu_gg_blast_perc_identity	ssu_gg_blast_subject_id	ssu_gg_taxonomy	ssu_length	ssu_query_id	ssu_silva_blast_align_len	ssu_silva_blast_bitscore	ssu_silva_blast_evalue	ssu_silva_blast_perc_identity	ssu_silva_blast_subject_id	ssu_silva_taxonomy	total_gap_length	trna_aa_count	trna_count	trna_selenocysteine_count
GB_GCA_018847695.1	0	100.0	0.06	Specific	97.96	0.68	229	k__Bacteria (UID2982)	147	0.0	2780266	87.57808035874598	1	1802853	56.78967584720536	3174614	RS_GCF_026072915.1	f	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia biwaensis	not type material	none	f	1	1	3174614	3174614	3174614	3	2831	CP072048.1	3174614	3	108	CP072048.1	2831	5228	0	100	CDYM01015280.2594.5427	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;gut metagenome	3174614	3174614	t	f	f	3174614	3174614	Complete Genome	ASM1884769v1	na	PRJNA715455	SAMN18350236	none	none	USA:Durham; North Carolina	2021-06-11	GCA_018847695.1	none	full	Akk0496a	none	none	1	0	Candidatus Akkermansia timonensis	none	na	9	1	1	3174614	3174614	3174614	2021/06/11	0	3068329	3	Akk0496a	Duke University	239935	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Candidatus Akkermansia timonensis	d__Bacteria;x__PVC group;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Candidatus Akkermansia timonensis	0	3174614	11	52	na	3174614	0	na	2583	1	3174614	3	none	none	none	none	none	none	1509	CP072048.1	1500	2748	0	99.733	LTZM01000016.4044.5543	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia sp. KLE1798	0	19	54	0
GB_GCA_016297105.1	0	83.79	0.22	Specific	89.64	0.0	249	f__Spirochaetaceae (UID2535)	143	0.0	1884279	91.01983639143361	101	863193	41.6964184360335	2070185	GB_GCA_018384055.1	f	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D sp018384055	not type material	none	f	19	19	114668	114668	none	0	none	none	none	0	none	none	none	none	none	none	none	none	20496	20496	f	f	t	35484	35484	Contig	ASM1629710v1	na	PRJNA647157	SAMN16927279	101	35484	China: Xizang	2020-12-22	GCA_016297105.1	derived from metagenome	full	MAG132	fresh feces	none	0	none	Treponema sp.	none	na	none	none	none	none	none	none	2020/12/22	0	166	none	MAG132	Tibet Agricultural and Animal Husbandry College	166	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Treponemataceae;g__Treponema;s__	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Treponemataceae;g__Treponema;x__unclassified Treponema;s__Treponema sp.	0	2070185	none	none	na	2070185	0	JAEDHI000000000.1	1832	101	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	16	32	0
GB_GCA_902779825.1	40	79.43	1.41	General	81.19	1.26	354	f__Lachnospiraceae (UID1255)	174	25.0	2004001	83.9024939627078	397	1252471	52.45283951279083	2388488	RS_GCF_900101015.1	f	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-791;s__CAG-791 sp900101015	not type material	none	f	94	90	48170	48170	none	0	none	none	none	0	none	none	none	none	none	none	none	none	6014	6369	f	f	t	7155	7378	Scaffold	Rumen uncultured genome RUG12510	na	PRJEB31266	SAMEA6150646	397	7155	none	2020-02-15	GCA_902779825.1	derived from metagenome	full	RUG12510	cattle rumen	none	0	none	uncultured Sarcina sp.	none	na	none	375	90	7378	4738	3161	2020/02/15	22	200448	none	RUG12510	THE ROSLIN INSTITUTE	200448	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Sarcina;s__	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Sarcina;x__environmental samples;s__uncultured Sarcina sp.	644	2388488	none	none	na	2387844	0	CACZDI000000000.1	2261	375	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	644	12	23	0
GB_GCA_027327805.1	0	88.34	11.21	General	93.67	2.31	161	k__Bacteria (UID1452)	108	66.67	3738183	88.33703394925193	317	3036080	71.7456320444036	4231728	GB_GCA_021802825.1	f	d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__CAIXZV01;s__CAIXZV01 sp021802825	not type material	none	f	51	51	116834	116834	12857	1	524	DAHVYD010000080.1	12857	1	110	DAHVYD010000080.1	524	761	0	92.939	LDXM01000027.30878.33140	Bacteria;Chloroflexi;CSP1-4;Chloroflexi bacterium CSP1-4	13349	13349	f	f	t	22898	22898	Contig	ASM2732780v1	na	PRJNA834572	SAMN28404323	317	22898	China: Hunan; Shuikoushan	2022-12-27	GCA_027327805.1	derived from metagenome	full	clean92	sediment	26.53394 N 112.60750 E	0	none	Chloroflexota bacterium	none	na	none	none	none	none	none	none	2022/12/27	0	2026724	none	clean92	an eLibrary of Microbial Systematics and Genomics	2026724	d__Bacteria;p__Chloroflexota;c__;o__;f__;g__;s__	d__Bacteria;x__Terrabacteria group;p__Chloroflexota;x__unclassified Chloroflexota;s__Chloroflexota bacterium	0	4231728	none	none	na	4231728	0	DAHVYD000000000.1	4265	317	15480	1	none	none	none	none	none	none	387	DAHVYD010000015.1	384	688	0	98.958	HE604087.1.1461	Bacteria;Chloroflexi;KD4-96;uncultured bacterium	0	19	54	1
GB_GCA_959020195.1	0	78.5	1.75	Specific	60.15	0.0	102	k__Bacteria (UID203)	56	0.0	1555189	88.45820445411141	96	1048573	59.64219449794267	1758106	RS_GCF_003287495.1	f	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_I	not type material	none	f	20	20	81101	81101	none	0	none	none	none	0	none	none	none	none	none	none	none	none	18313	18313	f	f	t	28426	28426	Contig	ERR10149226_bin.7_MetaWRAP_v1.3_MAG	na	PRJEB63310	SAMEA114096093	96	28426	none	2023-07-21	GCA_959020195.1	derived from metagenome	full	ERR10149226_bin.7_MetaWRAP_v1.3_MAG	human feces metagenome	none	0	none	uncultured Faecalibacterium sp.	none	na	none	none	none	none	none	none	2023/07/21	0	259315	none	ERR10149226_bin.7_MetaWRAP_v1.3_MAG	EMG	259315	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;s__	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;x__environmental samples;s__uncultured Faecalibacterium sp.	0	1758106	none	none	na	1758106	0	CAUERD000000000.1	1655	96	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	16	33	0
GB_GCA_016196125.1	0	94.96	0.0	General	63.68	2.25	149	k__Bacteria (UID2329)	89	0.0	585588	90.51658577302378	17	229122	35.416267350913536	646940	GB_GCA_016196125.1	t	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__Staskawiczbacteraceae;g__JACPYG01;s__JACPYG01 sp016196125	not type material	none	f	4	4	118951	118951	30512	3	3662	JACPYG010000014.1	30512	1	102	JACPYG010000014.1	1667	2510	0	94.001	MHOX01000029.1.2080	Bacteria;Patescibacteria;Parcubacteria;Candidatus Staskawiczbacteria;Candidatus Staskawiczbacteria bacterium RIFCSPLOWO2_01_FULL_33_9	38055	38055	f	f	t	62207	62207	Contig	ASM1619612v1	na	PRJNA640378	SAMN15435496	17	62207	USA: California; Calistoga	2020-12-21	GCA_016196125.1	derived from metagenome	full	NC_groundwater_857_Pr1_B-0.1um_35_19	groundwater	38.66837 N 122.58818 W	0	0	Candidatus Staskawiczbacteria bacterium	none	na	1	none	none	none	none	none	2020/12/21	0	2053617	0	NC_groundwater_857_Pr1_B-0.1um_35_19	Innovative Genomics Institute	2053617	d__Bacteria;p__Candidatus Staskawiczbacteria;c__;o__;f__;g__;s__	d__Bacteria;x__Bacteria incertae sedis;x__Bacteria candidate phyla;x__Patescibacteria group;x__Parcubacteria group;p__Candidatus Staskawiczbacteria;s__Candidatus Staskawiczbacteria bacterium	0	646940	11	32	na	646940	0	JACPYG000000000.1	697	17	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	17	32	0
GB_GCA_946415595.1	0	80.36	0.23	Specific	77.84	1.08	278	k__Bacteria (UID2569)	186	0.0	2038641	88.94140220590833	210	1157947	50.51866898592	2292117	GB_GCA_016280915.1	f	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__P3;g__UBA1711;s__UBA1711 sp016280915	not type material	none	f	52	52	58796	58796	none	0	none	none	2529	1	109	CAMKTC010000209.1	none	none	none	none	none	none	10914	10914	f	f	t	14539	14539	Contig	SRR12081292_bin.29_metaWRAP_v1.3_MAG	na	PRJEB54748	SAMEA110643116	210	14539	none	2022-09-12	GCA_946415595.1	derived from metagenome	full	SRR12081292_bin.29_metaWRAP_v1.3_MAG	sheep gut metagenome	none	0	none	uncultured Bacteroidales bacterium	none	na	none	none	none	none	none	none	2022/09/12	0	194843	none	SRR12081292_bin.29_metaWRAP_v1.3_MAG	EMG	194843	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;x__environmental samples;s__uncultured Bacteroidales bacterium	0	2292117	none	none	na	2292117	0	CAMKTC000000000.1	1997	210	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	9	11	0
GB_GCA_013822685.1	0	93.56	0.08	Specific	97.98	0.86	427	o__Burkholderiales (UID4000)	214	0.0	3933758	93.37905564561441	29	2667890	63.330039307547196	4212677	GB_GCA_013822685.1	t	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Aquabacterium;s__Aquabacterium sp013822685	not type material	none	f	8	8	458460	458460	none	0	none	none	none	0	none	none	none	none	none	none	none	none	145264	145264	f	f	t	173220	173220	Contig	ASM1382268v1	na	PRJNA323575	SAMN08286393	29	173220	USA: Illinois; Champaign	2020-07-28	GCA_013822685.1	derived from metagenome	full	PB2.3.27	drinking water system-PB2	40.12 N 88.23 W	0	1	Leptothrix sp. (in: b-proteobacteria)	none	na	0	none	none	none	none	none	2020/07/28	0	34030	0	PB2.3.27	University of Illinois at Urbana-Champaign	34030	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Sphaerotilaceae;g__Leptothrix;s__	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Sphaerotilaceae;g__Leptothrix;x__unclassified Leptothrix (in: b-proteobacteria);s__Leptothrix sp. (in: b-proteobacteria)	0	4212677	11	46	na	4212677	0	PNKV00000000.1	3825	29	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	18	46	0
GB_GCA_946531975.1	0	58.15	1.37	Specific	77.43	2.01	263	o__Clostridiales (UID1212)	149	33.33	1588641	90.35682231572768	272	978853	55.6740299376744	1758186	GB_GCA_946531975.1	t	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Firm-04;s__Firm-04 sp946531975	not type material	none	f	74	74	35021	35021	none	0	none	none	none	0	none	none	none	none	none	none	none	none	6463	6463	f	f	t	7587	7587	Contig	SRR873598_bin.124_metaWRAP_v1.3_MAG	na	PRJEB22623	SAMEA110744871	272	7587	none	2022-09-15	GCA_946531975.1	derived from metagenome	full	SRR873598_bin.124_metaWRAP_v1.3_MAG	sheep gut metagenome	none	0	none	uncultured Ruminococcus sp.	none	na	none	none	none	none	none	none	2022/09/15	0	165186	none	SRR873598_bin.124_metaWRAP_v1.3_MAG	EMBL-EBI	165186	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;s__	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;x__environmental samples;s__uncultured Ruminococcus sp.	0	1758186	none	none	na	1758186	0	CAMNAY000000000.1	1734	272	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	6	9	0
GB_GCA_027444205.1	0	72.56	0.32	Specific	74.79	0.0	259	p__Proteobacteria (UID3887)	162	0.0	1803890	91.68385843840264	101	1316038	66.88846974680193	1967511	GB_GCA_021838715.1	f	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__GJ-E10;s__GJ-E10 sp021838715	not type material	none	f	21	21	86925	86925	44143	1	346	DAIAYG010000030.1	44143	1	108	DAIAYG010000030.1	346	601	2.07e-170	97.977	AP014683.369000.371876	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Burkholderiales bacterium GJ-E10	19480	19480	f	f	t	31341	31341	Contig	ASM2744420v1	na	PRJNA834572	SAMN28414487	101	31341	China: Guangxi; Wuyi	2022-12-27	GCA_027444205.1	derived from metagenome	full	clean6296	sediment	25.14854 N 107.50044 E	0	none	Burkholderiales bacterium	none	na	none	none	none	none	none	none	2022/12/27	0	1891238	none	clean6296	an eLibrary of Microbial Systematics and Genomics	1891238	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__;g__;s__	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;x__unclassified Burkholderiales;s__Burkholderiales bacterium	0	1967511	none	none	na	1967511	0	DAIAYG000000000.1	1876	101	76770	1	none	none	none	none	none	none	446	DAIAYG010000036.1	446	813	0	99.552	AP014683.366941.368470	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;uncultured;Burkholderiales bacterium GJ-E10	0	14	28	0
